repository.name,repository.full_name,repository.html_url,repository.description
DPNewStudents,lowellh315/DPNewStudents,https://github.com/lowellh315/DPNewStudents,"This repository has the notebooks for new students to learn about pandas, the student life dataset, and machine learning"
CCU002_01,BHFDSC/CCU002_01,https://github.com/BHFDSC/CCU002_01,CVD-COVID-UK project: SARS-CoV-2 infection and risk of major vascular events
3D-Sorghum-Inflorescence,maoli0923/3D-Sorghum-Inflorescence,https://github.com/maoli0923/3D-Sorghum-Inflorescence,
digital-phenotyping,code0707/digital-phenotyping,https://github.com/code0707/digital-phenotyping,
Honor-Thesis_friends-family,zilto/Honor-Thesis_friends-family,https://github.com/zilto/Honor-Thesis_friends-family,Predict next-day stress and happiness level using smartphone sensor data
agri-image,oceam/agri-image,https://github.com/oceam/agri-image,image processing for agriculture
digital-phenotyping,bingx1/digital-phenotyping,https://github.com/bingx1/digital-phenotyping,Year long masters advanced software project for SWEN90013 @ the University of Melbourne
OpenHAC,chags1313/OpenHAC,https://github.com/chags1313/OpenHAC,"A video analysis platform for digital biomarker extraction, analysis, and exploration with tools to build, assess, and deploy machine learning classifiers. "
tutoring,munamomo/tutoring,https://github.com/munamomo/tutoring,Tutorial ML applied in Digital Health
PhenomeForce,phenome-force/PhenomeForce,https://github.com/phenome-force/PhenomeForce,"This group is a platform imagined as an interactive “ metabolic network ”, where the nodes represent the different areas of plant phenomics applications, along with their sub-communities of experts. The main purpose is to provide all the knowledge essential to plan and start your own project of plant phenomics, making phenomics easy for everybody."
forest,onnela-lab/forest,https://github.com/onnela-lab/forest,Forest is a library for analyzing smartphone-based high-throughput digital phenotyping data
HyperspectralAnalysisIntroduction,GatorSense/HyperspectralAnalysisIntroduction,https://github.com/GatorSense/HyperspectralAnalysisIntroduction,Brief Introduction to Hyperspectral Image Analysis - Jupyter Notebook 
beiwe,onnela-lab/beiwe,https://github.com/onnela-lab/beiwe,Beiwe is a smartphone-based digital phenotyping research platform.
3dmcap,thsant/3dmcap,https://github.com/thsant/3dmcap,3-Demeter Capture is a tool for building 3-D point clouds from images
UAV-crop-analyzer,UPOL-Plant-phenotyping-research-group/UAV-crop-analyzer,https://github.com/UPOL-Plant-phenotyping-research-group/UAV-crop-analyzer,
phenopype,phenopype/phenopype,https://github.com/phenopype/phenopype,A phenotyping pipeline for Python
3D-Sorghum-Inflorescence,Topp-Roots-Lab/3D-Sorghum-Inflorescence,https://github.com/Topp-Roots-Lab/3D-Sorghum-Inflorescence,
deep-computational-phenotyping-papers,RigautAntoine/deep-computational-phenotyping-papers,https://github.com/RigautAntoine/deep-computational-phenotyping-papers,"An attempted survey of the current state of Computational Phenotyping, i.e. the use of deep learning for extracting insight from large Electronic Health Records"
CCU029_01,BHFDSC/CCU029_01,https://github.com/BHFDSC/CCU029_01,COVID-IMPACT project: Hospital admissions linked to SARS-CoV-2 infection in children: a cohort study of 3.2 million first ascertained infections in England
fractalgenetics,ImperialCollegeLondon/fractalgenetics,https://github.com/ImperialCollegeLondon/fractalgenetics,Analysis of the genomic architecture and functional role of myocardial trabeculae
loinc2hpo,monarch-initiative/loinc2hpo,https://github.com/monarch-initiative/loinc2hpo,Java library to map LOINC-encoded test results to Human Phenotype Ontology
CCU003_01,BHFDSC/CCU003_01,https://github.com/BHFDSC/CCU003_01,CVD-COVID-UK project: A retrospective cohort study measured predicting and validating the impact of the COVID-19 pandemic in individuals with chronic kidney disease
Beiwe-Analysis,onnela-lab/Beiwe-Analysis,https://github.com/onnela-lab/Beiwe-Analysis,Beiwe is a smartphone-based digital phenotyping research platform. This repository contains some data analysis code.
carp.client-fastAPI,cph-cachet/carp.client-fastAPI,https://github.com/cph-cachet/carp.client-fastAPI,"This is a sample project that provides all existing endpoints to communicate with the [CARP Webservices API](https://carp.cachet.dk) platform using the async framework, namely [FastAPI](http://fastapi.tiangolo.com)."
awesome-agriculture,brycejohnston/awesome-agriculture,https://github.com/brycejohnston/awesome-agriculture,"Open source technology for agriculture, farming, and gardening"
threelevel,ToreWentzel-Larsen/threelevel,https://github.com/ToreWentzel-Larsen/threelevel,
CCU003_03,BHFDSC/CCU003_03,https://github.com/BHFDSC/CCU003_03,CVD-COVID-UK project: Using national electronic health records for pandemic preparedness: validation of a parsimonious model for predicting excess COVID-19 deaths
CCU002_02,BHFDSC/CCU002_02,https://github.com/BHFDSC/CCU002_02,CVD-COVID-UK project: SARS-CoV-2 vaccination and risk of venous thromboembolism and arterial thrombotic events
NeuroneLabISASI.github.io,NeuroneLabISASI/NeuroneLabISASI.github.io,https://github.com/NeuroneLabISASI/NeuroneLabISASI.github.io,Research Repository NeuroneLab-ISASI (Italy)
tutorials,singhdj2/tutorials,https://github.com/singhdj2/tutorials,My tutorials on data wrangling and modeling.
Plugin,jeancomp/Plugin,https://github.com/jeancomp/Plugin,Plugin: application that makes up the OpenDP framework.
carp.client-api-flask,cph-cachet/carp.client-api-flask,https://github.com/cph-cachet/carp.client-api-flask,"This is a sample project that provides all existing endpoints to communicate with the [CARP Webservices API](https://carp.cachet.dk) platform using the async framework, namely [FastAPI](http://fastapi.tiangolo.com)."
beiwe-backend,onnela-lab/beiwe-backend,https://github.com/onnela-lab/beiwe-backend,Beiwe is a smartphone-based digital phenotyping research platform. This is the Beiwe backend code
data-publication,terraref/data-publication,https://github.com/terraref/data-publication,Just the content going to Dryad; see also terraref/data-paper for data descriptor
HES-birth-cohorts,UCL-CHIG/HES-birth-cohorts,https://github.com/UCL-CHIG/HES-birth-cohorts,Description of methods for developing birth cohorts in Hospital Episode Statistics 
Karthick-840,Karthick-840/Karthick-840,https://github.com/Karthick-840/Karthick-840,Config files for my GitHub profile.
website,artificialnouveau/website,https://github.com/artificialnouveau/website,
carrotsweeper,jbustamante35/carrotsweeper,https://github.com/jbustamante35/carrotsweeper,Pipeline to extract contours from images and run PCA analysis
ehr2HPO.prj,data2health/ehr2HPO.prj,https://github.com/data2health/ehr2HPO.prj,Conversion of EHR data (such as LOINC) to HPO codes
CCU004_02,BHFDSC/CCU004_02,https://github.com/BHFDSC/CCU004_02,CVD-COVID-UK project: Prediction of stroke and COVID-19 death using deep learning and sequential medical histories in a nationwide atrial fibrillation cohort
EntropyMasker,CirculatoryHealth/EntropyMasker,https://github.com/CirculatoryHealth/EntropyMasker,A fully automated approach for separating foreground (tissue) and background in bright-field microscopic whole-slide images of (immuno)histologically stained samples.
cv,zimolzak/cv,https://github.com/zimolzak/cv,Curriculum vitae. I like my cv.sty LaTeX file.
awesome-indoor-farming,csmsx/awesome-indoor-farming,https://github.com/csmsx/awesome-indoor-farming,"A curated list of awesome dataset, technologies, companies, and media about Indoor Farming."
data-system,Salk-Harnessing-Plants-Initiative/data-system,https://github.com/Salk-Harnessing-Plants-Initiative/data-system,"The main Salk HPI Data System for tracking plants and their phenotypic data in the lab, greenhouse, and field. Integrates with QR code tracking. Makes querying past experiments (+ images, etc.) and environmental data easier."
SeedCoatColor,seninfobio/SeedCoatColor,https://github.com/seninfobio/SeedCoatColor,
Awesome-Precision-Agriculture,px39n/Awesome-Precision-Agriculture,https://github.com/px39n/Awesome-Precision-Agriculture,"Advancement of UAV, deep Learning and cutting edged technologies and papers in Precision Agriculture. "
Awesome-Machine-Learning-in-Biomedical-Healthcare-Imaging,XindiWu/Awesome-Machine-Learning-in-Biomedical-Healthcare-Imaging,https://github.com/XindiWu/Awesome-Machine-Learning-in-Biomedical-Healthcare-Imaging,"A list of awesome selected resources towards the application of machine learning in Biomedical/Healthcare Imaging, inspired by"
pyfao56,kthorp/pyfao56,https://github.com/kthorp/pyfao56,A Python implementation of the FAO-56 dual crop coefficient approach for crop water use estimation and irrigation scheduling
tscfat,ArgonSilicon/tscfat,https://github.com/ArgonSilicon/tscfat,
BraPolar,abelgonzalez/BraPolar,https://github.com/abelgonzalez/BraPolar,"BraPolar is an Android m-Health for remote monitoring patients with Bipolar Affective Disorder, presenting real-time mood and behavior fluctuations in participants through interaction with their mobile devices. "
awesome-biological-image-analysis,hallvaaw/awesome-biological-image-analysis,https://github.com/hallvaaw/awesome-biological-image-analysis,"A curated list of softwares, tools, pipelines, plugins etc. for image analysis related to biological questions."
zECG_base,tvyduo/zECG_base,https://github.com/tvyduo/zECG_base,Repository for zebrafish ECG traces generated from Duong et. al. (2021)
bioimage-search,aws-samples/bioimage-search,https://github.com/aws-samples/bioimage-search,
Medical-Datasets-for-Machine-Learning,QQQHY/Medical-Datasets-for-Machine-Learning,https://github.com/QQQHY/Medical-Datasets-for-Machine-Learning,Medical Datasets for Machine Learning 机器学习医学数据
3d-root-crown-analysis-pipeline,Topp-Roots-Lab/3d-root-crown-analysis-pipeline,https://github.com/Topp-Roots-Lab/3d-root-crown-analysis-pipeline,A pipeline to process 3-D volumes (.raw) of maize root crowns
docs,GCSP-BDSI/docs,https://github.com/GCSP-BDSI/docs,
aradeepopsis,phue/aradeepopsis,https://github.com/phue/aradeepopsis,
Articles-on-AI-in-Healthcare,mayuresh12345/Articles-on-AI-in-Healthcare,https://github.com/mayuresh12345/Articles-on-AI-in-Healthcare,
aradeepopsis,Gregor-Mendel-Institute/aradeepopsis,https://github.com/Gregor-Mendel-Institute/aradeepopsis,"A versatile, fully open-source pipeline to extract phenotypic measurements from plant images"
maize,georginaehemba/maize,https://github.com/georginaehemba/maize,
PARC,ShobiStassen/PARC,https://github.com/ShobiStassen/PARC,
awesome-metadata,stevetsa/awesome-metadata,https://github.com/stevetsa/awesome-metadata,"A list of resources for metadata tools, standards and/or development"
healthcare_ml,isaacmg/healthcare_ml,https://github.com/isaacmg/healthcare_ml,A curated list of ML|NLP resources for healthcare.
SurvivalAnalysisPapers,shi-ang/SurvivalAnalysisPapers,https://github.com/shi-ang/SurvivalAnalysisPapers,A list of papers/resources in Survival Analysis that we have read or would like to read.
awesome-ehr-deeplearning,hurcy/awesome-ehr-deeplearning,https://github.com/hurcy/awesome-ehr-deeplearning,"Curated list of awesome papers for electronic health records(EHR) mining, machine learning, and deep learning."
Heathcare_ML,Debajyoti2040/Heathcare_ML,https://github.com/Debajyoti2040/Heathcare_ML,
SRA,christianabbet/SRA,https://github.com/christianabbet/SRA,
beiwe-backend,onnela-lab/beiwe-backend,https://github.com/onnela-lab/beiwe-backend,Beiwe is a smartphone-based digital phenotyping research platform. This is the Beiwe backend code
test,bbbrz/test,https://github.com/bbbrz/test,testing org mode and markdown
Transient_Oscillation_Dynamics_Toolbox,preraulab/Transient_Oscillation_Dynamics_Toolbox,https://github.com/preraulab/Transient_Oscillation_Dynamics_Toolbox,Transient Oscillation Dynamics Toolbox v1.0 - Prerau Laboratory (sleepEEG.org)
AMLD2020,smyth7/AMLD2020,https://github.com/smyth7/AMLD2020,Applied ML Days 2020
X-is-all-you-need,vinayprabhu/X-is-all-you-need,https://github.com/vinayprabhu/X-is-all-you-need,A survey of all the 'X is all you need'
patient_embedding,neiljethani/patient_embedding,https://github.com/neiljethani/patient_embedding,Repository for code related to creating patient embeddings from MIMIC III Data
awesome-graph-explainability-papers,flyingdoog/awesome-graph-explainability-papers,https://github.com/flyingdoog/awesome-graph-explainability-papers,Papers about explainability of GNNs
meshroom_publications,natowi/meshroom_publications,https://github.com/natowi/meshroom_publications,Publications mentioning Meshroom
Histopathology-Datasets,maduc7/Histopathology-Datasets,https://github.com/maduc7/Histopathology-Datasets,Ressources of histopathology datasets
20fall-,zkysfls/20fall-,https://github.com/zkysfls/20fall-,
Aweome-Heathcare-Federated-Learning,monk1337/Aweome-Heathcare-Federated-Learning,https://github.com/monk1337/Aweome-Heathcare-Federated-Learning,A curated list of Federated Learning papers/articles and recent advancements.
Deeplearning-Biology-Papers,manjunath5496/Deeplearning-Biology-Papers,https://github.com/manjunath5496/Deeplearning-Biology-Papers,"""The laws of physics demand the existence of something called 'negative energy'.""― Stephen Hawking"
bioinfo_pi_atlas,DC-Jade/bioinfo_pi_atlas,https://github.com/DC-Jade/bioinfo_pi_atlas,
Bison-Fly,filipematias23/Bison-Fly,https://github.com/filipematias23/Bison-Fly,Bison-Fly is the NDSU Spring Wheat UAV Pipeline developed in partnership with Drone2Phenome UAV community (D2P). In this pipeline we are presenting step by step how we have been applying UAV data on our breeding program. This is a open source R code from where anyone can use and adept for different crops. All suggestions are welcome. Help us to build this platform in partnership with Drone2Phenome community. 
Bioinfor_researchers_atlas,WWXkenmo/Bioinfor_researchers_atlas,https://github.com/WWXkenmo/Bioinfor_researchers_atlas,
LifeSciTrainingSlack,JasonJWilliamsNY/LifeSciTrainingSlack,https://github.com/JasonJWilliamsNY/LifeSciTrainingSlack,A Slack community of people who do short-format training in the life sciences
