repository.name,repository.full_name,repository.html_url,repository.description
Automatic-psychological-text-analyses-KNN,budihan/Automatic-psychological-text-analyses-KNN,https://github.com/budihan/Automatic-psychological-text-analyses-KNN,Automated schema classification for Schema-Focused Therapy using k-NearestNeighbour
iDialogPad,gemu2015/iDialogPad,https://github.com/gemu2015/iDialogPad,EMA App for IOS
EMAR,emar-project/EMAR,https://github.com/emar-project/EMAR,
analysis_state-impulsivity_hunger,SimonvBaal/analysis_state-impulsivity_hunger,https://github.com/SimonvBaal/analysis_state-impulsivity_hunger,
ema_assistant,susom/ema_assistant,https://github.com/susom/ema_assistant,A REDCap EM to assist in running surveys that are part of an Ecological Momentary Assessment study
Pre-Alpha,Gardener-of-Mind/Pre-Alpha,https://github.com/Gardener-of-Mind/Pre-Alpha,Pre-Alpha Release of Platform. Please note that this is very unstable at the moment.
tower-airdrop,qutang/tower-airdrop,https://github.com/qutang/tower-airdrop,
sema2_web,eorygen/sema2_web,https://github.com/eorygen/sema2_web,SEMA2 Open Source - Web
ieso,WilliamChiu/ieso,https://github.com/WilliamChiu/ieso,"ieso is a platform where users can share their emotions and experiences, and receive help in processing them from other users as well as volunteer student social workers"
mCerebrum-EMA,MD2Korg/mCerebrum-EMA,https://github.com/MD2Korg/mCerebrum-EMA,
PeerSupportApp,PeterHart23/PeerSupportApp,https://github.com/PeterHart23/PeerSupportApp,"This application was created as a way for CSU students to connect with each other while monitoring their personal mental health. The app has a search page to find other students and see what their major, academic level, and interests are. Once a fellow student has been found, they can be added as a friend and the chat functionality is unlocked between the two. Also, the main page contains an EMA (Ecological momentary assessment) which is basically a short survey that tracks how the student’s behaviors and school life is currently going. This app helps improve students’ mental health by connecting students with common interests and providing a way for students to track their personal mental health."
SoDA501,burtmonroe/SoDA501,https://github.com/burtmonroe/SoDA501,Material for Social Data Analytics 501 @ Penn State
HeartSteps,LisaGotzian/HeartSteps,https://github.com/LisaGotzian/HeartSteps,The HeartSteps data was collected during a mobile health intervention with the HeartSteps app and combines tracker data with the Google Fitbit and Jawbone as well as local weather data. 
final-project-aws-participant-ingest-pipeline,lsc4ss-s21/final-project-aws-participant-ingest-pipeline,https://github.com/lsc4ss-s21/final-project-aws-participant-ingest-pipeline,AWS Assisted Pipeline for Research Participant Management
studentlife,cran/studentlife,https://github.com/cran/studentlife,:exclamation: This is a read-only mirror of the CRAN R package repository.  studentlife — Tidy Handling and Navigation of the Student-Life Dataset. Homepage: https://github.com/Frycast/studentlife  Report bugs for this package: https://github.com/Frycast/studentlife/issues
open-data-exploratory,CornellPACLab/open-data-exploratory,https://github.com/CornellPACLab/open-data-exploratory,
studentlife,frycast/studentlife,https://github.com/frycast/studentlife,Tidy handling and navigation of the valuable Student-Life mHealth dataset
mental-health-datasets,kharrigian/mental-health-datasets,https://github.com/kharrigian/mental-health-datasets,An evolving list of electronic media data sets used to model mental-health status.
hypMuVar,donaldRwilliams/hypMuVar,https://github.com/donaldRwilliams/hypMuVar,Bayesian Hypothesis Testing of Mean--Variance Relations
aglocl,gunnihinn/aglocl,https://github.com/gunnihinn/aglocl,An automatically generated list of curated lists
Hangman,josephmoyer/Hangman,https://github.com/josephmoyer/Hangman,"A hangman game using the 6of12 word list, found at http://wordlist.sourceforge.net/, and included in the public domain by it's creator."
